date,ave_humidity,rain,,,,
2020/1/1,46,0,,,,
2020/1/2,57,0,,,,
2020/1/3,65,0,,,,
2020/1/4,53,0,,,,
2020/1/5,62,0,,,,
2020/1/6,46,0,,,,
2020/1/7,73,1,,,,
2020/1/8,88,1,,,,
2020/1/9,51,0,,,,
2020/1/10,58,0,,,,
2020/1/11,67,0,,,,
2020/1/12,76,0,,,,
2020/1/13,66,0,,,,
2020/1/14,69,0,,,,
2020/1/15,77,1,,,,
2020/1/16,54,0,,,,
2020/1/17,59,0,,,,
2020/1/18,79,0,,,,
2020/1/19,63,0,,,,
2020/1/20,61,0,,,,
2020/1/21,51,0,,,,
2020/1/22,63,0,,,,
2020/1/23,77,1,,,,
2020/1/24,71,0,,,,
2020/1/25,49,0,,,,
2020/1/26,67,0,,,,
2020/1/27,71,1,,,,
2020/1/28,97,1,,,,
2020/1/29,71,1,,,,
2020/1/30,51,0,,,,
2020/1/31,49,0,,,,
2020/2/1,53,0,,,,
2020/2/2,47,0,,,,
2020/2/3,57,0,,,,
2020/2/4,54,0,,,,
2020/2/5,54,0,,,,
2020/2/6,41,0,,,,
2020/2/7,51,0,,,,
2020/2/8,48,0,,,,
2020/2/9,43,0,,,,
2020/2/10,51,0,,,,
2020/2/11,50,0,,,,
2020/2/12,50,0,,,,
2020/2/13,55,0,,,,
2020/2/14,65,0,,,,
2020/2/15,62,0,,,,
2020/2/16,86,1,,,,
2020/2/17,92,1,,,,
2020/2/18,46,0,,,,
2020/2/19,44,0,,,,
2020/2/20,59,0,,,,
2020/2/21,68,1,,,,
2020/2/22,67,0,,,,
2020/2/23,36,0,,,,
2020/2/24,41,0,,,,
2020/2/25,67,1,,,,
2020/2/26,82,1,,,,
2020/2/27,50,0,,,,
2020/2/28,46,0,,,,
2020/2/29,62,0,,,,
2020/3/1,55,0,,,,
2020/3/2,88,1,,,,
2020/3/3,52,0,,,,
2020/3/4,80,0,,,,
2020/3/5,52,0,,,,
2020/3/6,39,0,,,,
2020/3/7,59,0,,,,
2020/3/8,88,1,,,,
2020/3/9,72,0,,,,
2020/3/10,97,1,,,,
2020/3/11,52,0,,,,
2020/3/12,47,0,,,,
2020/3/13,60,0,,,,
2020/3/14,87,1,,,,
2020/3/15,62,0,,,,
2020/3/16,62,0,,,,
2020/3/17,50,0,,,,
2020/3/18,45,0,,,,
2020/3/19,54,0,,,,
2020/3/20,42,0,,,,
2020/3/21,39,0,,,,
2020/3/22,47,0,,,,
2020/3/23,39,0,,,,
2020/3/24,46,0,,,,
2020/3/25,39,0,,,,
2020/3/26,41,0,,,,
2020/3/27,50,0,,,,
2020/3/28,75,1,,,,
2020/3/29,93,1,,,,
2020/3/30,71,0,,,,
2020/3/31,85,0,,,,
2020/4/1,94,1,,,,
2020/4/2,46,0,,,,
2020/4/3,50,0,,,,
2020/4/4,56,0,,,,
2020/4/5,56,0,,,,
2020/4/6,41,0,,,,
2020/4/7,48,0,,,,
2020/4/8,59,0,,,,
2020/4/9,60,1,,,,
2020/4/10,53,0,,,,
2020/4/11,49,1,,,,
2020/4/12,78,1,,,,
2020/4/13,90,1,,,,
2020/4/14,47,0,,,,
2020/4/15,45,0,,,,
2020/4/16,65,0,,,,
2020/4/17,64,0,,,,
2020/4/18,86,1,,,,
2020/4/19,54,0,,,,
2020/4/20,87,1,,,,
2020/4/21,77,0,,,,
2020/4/22,57,0,,,,
2020/4/23,44,0,,,,
2020/4/24,57,1,,,,
2020/4/25,66,0,,,,
2020/4/26,58,0,,,,
2020/4/27,74,0,,,,
2020/4/28,73,1,,,,
2020/4/29,59,0,,,,
2020/4/30,62,0,,,,
2020/5/1,69,0,,,,
2020/5/2,65,0,,,,
2020/5/3,65,0,,,,
2020/5/4,79,1,,,,
2020/5/5,72,1,,,,
2020/5/6,89,1,,,,
2020/5/7,45,0,,,,
2020/5/8,45,0,,,,
2020/5/9,69,1,,,,
2020/5/10,75,0,,,,
2020/5/11,65,0,,,,
2020/5/12,69,0,,,,
2020/5/13,53,0,,,,
2020/5/14,32,0,,,,
2020/5/15,40,0,,,,
2020/5/16,79,1,,,,
2020/5/17,69,0,,,,
2020/5/18,87,1,,,,
2020/5/19,91,1,,,,
2020/5/20,86,1,,,,
2020/5/21,88,1,,,,
2020/5/22,81,1,,,,
2020/5/23,77,0,,,,
2020/5/24,69,0,,,,
2020/5/25,69,0,,,,
2020/5/26,81,1,,,,
2020/5/27,74,1,,,,
2020/5/28,56,1,,,,
2020/5/29,61,0,,,,
2020/5/30,59,0,,,,
2020/5/31,68,0,,,,
2020/6/1,84,1,,,,
2020/6/2,78,1,,,,
2020/6/3,64,0,,,,
2020/6/4,74,0,,,,
2020/6/5,71,0,,,,
2020/6/6,79,1,,,,
2020/6/7,68,0,,,,
2020/6/8,66,0,,,,
2020/6/9,66,0,,,,
2020/6/10,65,0,,,,
2020/6/11,84,1,,,,
2020/6/12,81,1,,,,
2020/6/13,95,1,,,,
2020/6/14,93,1,,,,
2020/6/15,64,0,,,,
2020/6/16,64,1,,,,
2020/6/17,57,0,,,,
2020/6/18,77,1,,,,
2020/6/19,95,1,,,,
2020/6/20,67,0,,,,
2020/6/21,79,1,,,,
2020/6/22,91,1,,,,
2020/6/23,88,1,,,,
2020/6/24,84,1,,,,
2020/6/25,90,1,,,,
2020/6/26,89,1,,,,
2020/6/27,80,0,,,,
2020/6/28,88,1,,,,
2020/6/29,61,0,,,,
2020/6/30,90,1,,,,
2020/7/1,90,1,,,,
2020/7/2,75,0,,,,
2020/7/3,79,1,,,,
2020/7/4,91,1,,,,
2020/7/5,86,0,,,,
2020/7/6,95,1,,,,
2020/7/7,88,1,,,,
2020/7/8,88,1,,,,
2020/7/9,93,1,,,,
2020/7/10,92,1,,,,
2020/7/11,93,1,,,,
2020/7/12,73,0,,,,
2020/7/13,84,1,,,,
2020/7/14,94,1,,,,
2020/7/15,92,1,,,,
2020/7/16,86,1,,,,
2020/7/17,92,1,,,,
2020/7/18,96,1,,,,
2020/7/19,82,0,,,,
2020/7/20,80,1,,,,
2020/7/21,91,1,,,,
2020/7/22,85,1,,,,
2020/7/23,96,1,,,,
2020/7/24,90,1,,,,
2020/7/25,97,1,,,,
2020/7/26,96,1,,,,
2020/7/27,94,1,,,,
2020/7/28,94,1,,,,
2020/7/29,93,1,,,,
2020/7/30,85,0,,,,
2020/7/31,83,1,,,,
2020/8/1,77,1,,,,
2020/8/2,75,0,,,,
2020/8/3,73,0,,,,
2020/8/4,74,0,,,,
2020/8/5,71,0,,,,
2020/8/6,74,0,,,,
2020/8/7,72,0,,,,
2020/8/8,74,0,,,,
2020/8/9,71,0,,,,
2020/8/10,68,0,,,,
2020/8/11,66,0,,,,
2020/8/12,75,0,,,,
2020/8/13,72,0,,,,
2020/8/14,66,0,,,,
2020/8/15,69,1,,,,
2020/8/16,68,0,,,,
2020/8/17,70,1,,,,
2020/8/18,69,0,,,,
2020/8/19,66,0,,,,
2020/8/20,66,0,,,,
2020/8/21,68,0,,,,
2020/8/22,75,1,,,,
2020/8/23,78,0,,,,
2020/8/24,75,0,,,,
