Rank,100m,LongJump,ShotPut,HighJump,400m,110mH,DiscusThrow,PoleVault,JavelinThrow,1500m
1,10.66 ,7.27 ,11.55 ,1.93 ,48.72 ,14.17 ,37.12 ,4.50 ,57.15 ,288.29 
2,10.96 ,7.23 ,12.07 ,1.85 ,48.77 ,14.23 ,36.73 ,4.40 ,57.06 ,276.17 
3,11.03 ,7.06 ,12.15 ,1.90 ,49.96 ,15.96 ,40.54 ,4.50 ,58.83 ,300.46 
4,10.79 ,7.19 ,12.13 ,1.85 ,48.61 ,14.05 ,32.80 ,4.00 ,47.62 ,284.07 
5,11.29 ,7.06 ,11.20 ,1.93 ,50.59 ,14.62 ,34.58 ,4.40 ,58.32 ,303.12 
6,11.42 ,7.15 ,12.05 ,1.85 ,50.49 ,15.33 ,30.99 ,4.30 ,62.62 ,292.23 
7,10.94 ,7.01 ,10.58 ,1.80 ,48.32 ,15.45 ,31.66 ,4.60 ,46.88 ,300.19 
8,10.95 ,6.69 ,9.16 ,1.85 ,48.72 ,14.64 ,28.31 ,4.20 ,46.44 ,267.33 
9,11.35 ,6.86 ,10.18 ,1.96 ,50.09 ,14.90 ,29.34 ,4.10 ,46.44 ,275.90 
10,11.41 ,6.65 ,11.11 ,1.80 ,51.56 ,15.72 ,37.14 ,4.50 ,59.82 ,321.91 
11,10.99 ,6.57 ,9.52 ,1.85 ,49.18 ,15.82 ,29.14 ,4.20 ,46.91 ,284.04 
12,11.36 ,6.62 ,11.12 ,1.93 ,52.77 ,14.91 ,31.48 ,3.80 ,47.66 ,283.43 
13,11.32 ,6.51 ,11.34 ,1.80 ,51.18 ,15.88 ,32.55 ,0.00 ,58.25 ,300.26 
